contestant_id,season_number,contestant_entrance,contestant_name,age,hometown_city,hometown_state,season_outcome,handle_instagram,handle_twitter,datetime,followers_twitter,followers_instagram,datemin,datemax,twit_diff
36,4,2,Lashauwn Beyond,21,Fort Lauderdale,Florida,12,lashauwnbeyond,LashauwnBeyond,2012-02-04 4:07:32,617,NA,2012-02-04T04:07:32Z,2012-04-27T07:12:34Z,1820
37,4,3,Jiggly Caliente,30,Queens,New York,8,jigglycalienteofficial,JigglyCaliente,2012-03-03 2:01:48,2720,NA,2012-03-03T02:01:48Z,2012-04-22T13:39:32Z,3088
38,4,4,Phi Phi O'Hara,25,Chicago,Illinois,2,phiphiohara,PhiPhiOhara,2012-01-31 8:46:41,1416,NA,2012-01-31T08:46:41Z,2012-04-30T01:15:46Z,9573
39,4,5,Madame LaQueer,29,Carolina,Puerto Rico,10,ditisnietmilan,MadameLaQueer,2012-02-11 0:25:21,1638,NA,2012-02-11T00:25:21Z,2012-04-30T01:49:31Z,1882
43,4,9,The Princess,31,Chicago,Illinois,11,thedragprincess,TheDragPrincess,2012-02-03 17:03:39,1213,NA,2012-02-03T17:03:39Z,2012-04-28T22:41:50Z,3284
45,4,11,Chad Michaels,40,San Diego,California,2,chadmichaelsallstar,ChadMichaels1,2012-02-04 3:32:17,1628,NA,2012-02-04T03:32:17Z,2012-04-30T04:57:32Z,15592
46,4,12,Sharon Needles,29,Pittsburgh,Pennsylvania,1,sharonneedlespgh,SHARON_NEEDLES,2012-02-02 22:54:43,3487,NA,2012-02-02T22:54:43Z,2012-04-30T18:05:46Z,34170
47,4,13,Latrice Royale,39,South Beach,Florida,4,latriceroyale,LatriceRoyale,2012-02-04 6:48:53,1143,NA,2012-02-04T06:48:14Z,2012-04-30T15:25:51Z,19530
48,5,1,Detox,27,Los Angeles,California,4,theonlydetox,TheOnlyDetox,2013-01-28 16:47:41,8852,NA,2013-01-28T01:07:34Z,2013-05-06T19:50:34Z,21273
49,5,2,Roxxxy Andrews,28,Orlando,Florida,2,roxxxyandrews,RoxxxyAndrews,2013-01-28 7:49:34,2107,NA,2013-01-28T07:49:34Z,2013-05-06T18:57:09Z,14239
50,5,3,Jade Jolie,25,Gainesville,Florida,8,missjadejolie,QueenJadeJolie,2013-01-29 8:44:06,2299,NA,2013-01-28T21:03:53Z,2013-05-03T18:20:40Z,8065
51,5,4,Serena ChaCha,21,Tallahassee,Florida,13,myron.morgan,SerenaChaCha,2013-01-29 6:07:45,1015,NA,2013-01-29T06:07:45Z,2013-05-06T01:51:49Z,1508
52,5,5,Alyssa Edwards,32,Mesquite,Texas,6,alyssaedwards_1,AlyssaEdwards_1,2013-01-27 20:52:52,1546,NA,2013-01-27T20:52:52Z,2013-05-06T04:02:51Z,14774
53,5,6,Jinkx Monsoon,24,Seattle,Washington,1,thejinkx,JinkxMonsoon,2013-01-29 16:41:25,2592,NA,2013-01-28T19:45:47Z,2013-05-06T19:18:50Z,33918
54,5,7,Penny Tration,39,Cincinnati,Ohio,14,misspennytration,PennyTration,2013-01-28 4:15:50,3879,NA,2013-01-27T19:31:00Z,2013-05-06T18:15:47Z,2664
55,5,8,Vivienne Pinay,26,New York,New York,10,viviennepinay,ViviennePinay,2013-01-28 16:57:07,1442,NA,2013-01-28T16:57:07Z,2013-05-05T16:25:00Z,3378
56,5,9,Alaska,27,Pittsburgh,Pennsylvania,2,theonlyalaska5000,Alaska5000,2013-01-30 18:49:34,8054,NA,2013-01-30T18:49:34Z,2013-05-06T19:17:51Z,25273
57,5,10,Honey Mahogany,29,San Francisco,California,10,honeymahogany,honeymahogany,2013-01-28 23:24:28,2216,NA,2013-01-28T23:24:28Z,2013-05-06T16:27:02Z,3405
58,5,11,Ivy Winters,22,Greenville,Michigan,7,ivy_winters,Ivy_Winters,2013-01-28 16:14:57,1415,NA,2013-01-28T16:14:57Z,2013-05-06T13:18:02Z,13125
59,5,12,Monica Beverly Hillz,27,Owensboro,Kentucky,12,monicabhillz,MonicaBHillz,2013-02-02 1:00:15,1357,NA,2013-02-02T01:00:15Z,2013-05-04T15:01:24Z,3418
60,5,13,Lineysha Sparx,24,San Juan,Puerto Rico,9,lineyshasparx,LineyshaSparx,2013-01-28 9:14:57,1201,NA,2013-01-28T09:14:57Z,2013-05-06T03:57:57Z,3808
61,5,14,Coco Montrese,37,Las Vegas,Nevada,5,theonlycocomontrese,cocomontrese,2013-01-28 5:07:55,1919,NA,2013-01-28T02:11:28Z,2013-05-06T19:13:32Z,8897
62,6,1,Adore Delano,23,Azusa,California,2,adoredelano,AdoreDelano,2014-02-23 19:16:04,9421,NA,2014-02-23T19:16:04Z,2014-05-19T19:18:37Z,40838
63,6,2,BenDeLaCreme,31,Seattle,Washington,5,bendelacreme,bendelacreme,2014-02-23 20:43:34,4311,NA,2014-02-23T20:43:34Z,2014-05-19T18:53:11Z,23926
64,6,3,Gia Gunn,23,Chicago,Illinois,10,gia_gunn,GiaGunn,2014-02-24 21:25:59,3134,NA,2014-02-24T21:25:59Z,2014-05-18T23:21:29Z,8556
65,6,4,Laganja Estranja,24,Van Nuys,California,8,laganjaestranja,LaganjaEstranja,2014-02-24 16:07:26,4157,NA,2014-02-24T01:02:32Z,2014-05-19T19:47:59Z,4644
66,6,5,April Carrión,24,Guaynabo,Puerto Rico,11,aprilcarrion,ApriLcarrion,2014-02-24 15:37:09,2783,NA,2014-02-23T21:16:02Z,2014-05-18T13:25:17Z,8918
67,6,6,Kelly Mantle,36,Los Angeles,California,13,kellymantle,thekellymantle,2014-02-24 6:59:54,3654,NA,2014-02-24T06:59:54Z,2014-05-16T18:15:54Z,4093
68,6,7,Vivacious,40,New York,New York,12,vivaciousnyc,VivaciousNYC,2014-02-24 17:07:25,2617,NA,2014-02-23T22:15:11Z,2014-05-19T17:50:56Z,6068
69,6,8,Bianca Del Rio,37,New Orleans,Louisiana,1,thebiancadelrio,TheBiancaDelRio,2014-02-23 20:04:30,5235,NA,2014-02-23T20:04:30Z,2014-05-19T15:18:15Z,49693
70,6,9,Trinity K. Bonet,22,Atlanta,Georgia,7,trinitykbonet,trinitykbonet,2014-02-24 15:30:01,2060,NA,2014-02-24T15:30:01Z,2014-05-17T13:40:20Z,9433
