medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
3418135604CD3F357DD9577AF978C5C0,B25386A1F259C87449430593E904FDBC,VTS,8/30/13 7:57,CSH,41.5,0,0.5,0,0,42
6D3B2A7682C30DCF64F3F12976EF93B6,A603A9D5FAA46E8FF2A97A143328D938,CMT,8/30/13 23:26,CSH,31,0.5,0.5,0,5.33,37.33
6D49E494913752B75B2685E0019FF3D5,3F0BFE90A5D71741840B25600A89E225,CMT,8/30/13 9:18,CSH,5.5,0,0.5,0,0,6
4C4A0AFC432A1A87E97ED8F18403FF6E,BA20A20E2CF85EF7B00162D711394C7E,CMT,8/26/13 23:27,CSH,23,0.5,0.5,0,5.33,29.33
1258CA1DF5E2A9E9A9F7848408A7AAEB,8C14DCF69CAA2A9A0DFAFD99E00536A1,CMT,8/29/13 10:57,CSH,14,0,0.5,0,0,14.5
3B0E8DC736D1E0D35C698D7B0BF9CBFA,95E1B89BC718FB1DC76B939937E043F3,CMT,8/27/13 11:37,CSH,31.5,0,0.5,0,5.33,37.33
1A575E39B0D761E6496F002F79E34D19,FAE278EFC2171382209D06992A5FE59D,CMT,8/29/13 5:41,CSH,13,0.5,0.5,0,0,14
A30A0C08B1331EC905B012947F22081F,B56ECCC02B67AD98E9EBEFB0E8A9FB6D,CMT,8/28/13 19:53,CSH,31.5,1,0.5,0,5.33,38.33
EF74C4639B1D4D28B88DBCF0694DC821,3251A220F065378A4E35BE26E611DA8D,CMT,8/26/13 1:08,CSH,13,0.5,0.5,0,0,14
C647516A7B73EC8105E8DE5494B4CDB9,80C4140E2FE178B8549FE2825D49238F,CMT,8/27/13 21:59,CSH,10.5,0.5,0.5,0,0,11.5
820B36EA63873F28807E47F980A91F73,06B5E4891A882B900B269D1353B116C7,CMT,8/27/13 14:56,CSH,5.5,0,0.5,0,0,6
820B36EA63873F28807E47F980A91F73,06B5E4891A882B900B269D1353B116C7,CMT,8/28/13 7:29,CSH,6,0,0.5,0,0,6.5
C4C347414D5C906720807BFC30CF13BA,262D54748AC4FE33D6BCAE268351FF80,CMT,8/29/13 23:26,CSH,20.5,0.5,0.5,0,0,21.5
6B8023AC6B68890438B9B845424E3FE9,C97DCB98FCCB272A82A66D4CBE762F73,CMT,8/31/13 17:06,CSH,7.5,0,0.5,0,0,8
EB21592CE6D70E55B25A9A80B44761C3,FCE5B92D71FA32DC290B43CCF8D02BDB,CMT,8/28/13 7:07,CSH,9,0,0.5,0,0,9.5
EB21592CE6D70E55B25A9A80B44761C3,FCE5B92D71FA32DC290B43CCF8D02BDB,CMT,8/28/13 13:05,CSH,14.5,0,0.5,0,0,15
6D49E494913752B75B2685E0019FF3D5,7281CC90DBD48ACC900478DD0CAA9679,CMT,8/30/13 23:21,CSH,9,0.5,0.5,0,0,10
AA5DA32A45ABF4F64F3AC01A4AD00B0F,1ED99C692A852A41D5ACC8A86398DF11,CMT,8/28/13 20:55,CSH,7.5,0.5,0.5,0,0,8.5
733015B96769005F09B439E6D36DCAE1,3844340352C84AC293960F158C70AAC8,CMT,8/29/13 22:55,CSH,28,0.5,0.5,0,0,29
733015B96769005F09B439E6D36DCAE1,3844340352C84AC293960F158C70AAC8,CMT,8/29/13 17:28,CSH,152,0,0,0,10.25,162.25
073E554D0345EFB08A9FE38C61AD2335,CB850648762C800712DBEFF9A3B5B036,CMT,8/30/13 1:04,CSH,16,0.5,0.5,0,0,17
B50AE8959B0FCF53E9ABD37B39F50B3A,465E7EFF1B849565C3CAAEA60AA10709,CMT,8/29/13 18:44,CSH,5.5,1,0.5,0,0,7
7E774AA3143A39C60C04522E849BEECB,6BF41E82EE3DC8D1EF2A85904C34321A,CMT,8/27/13 12:37,CSH,12.5,0,0.5,0,0,13
57A63E815A54CD2D6FF73A1D24B89BFE,E72BB754FA1871ADE846FB0A21C7BF64,CMT,8/28/13 14:08,CSH,6.5,0,0.5,0,0,7
1A6E8F6EEBC37865EB2A2DAA1ECA6B94,6BEFE36C95F01D806A27F59A55027416,CMT,8/31/13 21:45,CSH,5.5,0.5,0.5,0,0,6.5
54C676B0DE58AF5C765D1BB8226295A6,E1A451EAFEA39A9DE5C927C4EFAF6C2C,CMT,8/31/13 23:14,CSH,14,0.5,0.5,0,0,15
12842495074E45A2BDB93613AEBE05F3,FFF20BA1518E14B3B23F79DDDE1CA7E6,CMT,8/30/13 17:43,CSH,5.5,1,0.5,0,0,7
7DD1D6A5E432ACBD68A734587B589B9B,EF3FD28F7D39F614BF68B51F0256B050,CMT,8/31/13 8:58,CSH,10.5,0,0.5,0,0,11
506DF1356EA4AAA9DE38EE3103CDAAF9,B25D184408E0DC4CBCF2666EC7B939FF,CMT,8/28/13 21:47,CSH,8,0.5,0.5,0,0,9
4EC66A306E69E2A9514E8A7F177E2F7C,1889AB24B45BE47DFEF8E4522FC1F906,CMT,8/28/13 21:59,CSH,5.5,0.5,0.5,0,0,6.5
073E554D0345EFB08A9FE38C61AD2335,CA784439730B9A9D0C5418D945976F8B,CMT,8/28/13 14:04,CSH,5,0,0.5,0,0,5.5
BD6BEC206DAB447D3D08AA2C3C75A53A,D425F45DE6E2271BA2EA9AB65BFA50D9,CMT,8/29/13 19:17,CSH,7.5,1,0.5,0,0,9
BA60553FAA4FE1A36BBF77B4C10D3003,7113EB5EDADF2E5A9B1DEC6C3EAC89FF,CMT,8/30/13 11:01,CSH,52,0,0.5,0,5.33,57.83
4C4A0AFC432A1A87E97ED8F18403FF6E,BA20A20E2CF85EF7B00162D711394C7E,CMT,8/26/13 15:51,CSH,8.5,0,0.5,0,0,9
A30A0C08B1331EC905B012947F22081F,B6070CD9C6CBB790835CB6CC56350BA8,CMT,8/29/13 13:12,CSH,39.5,0,0.5,0,5.33,45.33
0D6EFD5154194976ECC7D1002693B7DF,6728F46F954A33E985F187B91FCBAA14,CMT,8/26/13 11:24,CSH,6,0,0.5,0,0,6.5
0D6EFD5154194976ECC7D1002693B7DF,6728F46F954A33E985F187B91FCBAA14,CMT,8/26/13 7:23,CSH,8,0,0.5,0,0,8.5
1A6E8F6EEBC37865EB2A2DAA1ECA6B94,76D9CFA338E05BEF6A6211CC50BC1E7F,CMT,8/28/13 9:37,CSH,5.5,0,0.5,0,0,6
C4C347414D5C906720807BFC30CF13BA,262D54748AC4FE33D6BCAE268351FF80,CMT,8/30/13 0:20,CSH,13,0.5,0.5,0,0,14
F9E0A24870A77B6A347303BD68BF3081,48CAD00AF465E28CB1D0B0ABA6EDC90B,CMT,8/28/13 12:42,CSH,4.5,0,0.5,0,0,5
0623A7C9C8D5348CCD6E441E6161FE19,84B982BE5996AD790C61503B713E9479,CMT,8/29/13 17:09,CSH,5.5,1,0.5,0,0,7
