medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
3418135604CD3F357DD9577AF978C5C0,B25386A1F259C87449430593E904FDBC,VTS,1,,8/30/13 7:57,8/30/13 8:30,5,1980,14.58,-73.791359,40.645657,-73.922501,40.758766
6D3B2A7682C30DCF64F3F12976EF93B6,A603A9D5FAA46E8FF2A97A143328D938,CMT,1,N,8/30/13 23:26,8/30/13 23:46,2,1177,11,-73.862724,40.769062,-73.976845,40.764595
6D49E494913752B75B2685E0019FF3D5,3F0BFE90A5D71741840B25600A89E225,CMT,1,N,8/30/13 9:18,8/30/13 9:24,1,357,0.8,-73.991653,40.750324,-73.98642,40.742924
4C4A0AFC432A1A87E97ED8F18403FF6E,BA20A20E2CF85EF7B00162D711394C7E,CMT,1,N,8/26/13 23:27,8/26/13 23:42,4,938,7.7,-73.975372,40.756237,-73.867119,40.721886
1258CA1DF5E2A9E9A9F7848408A7AAEB,8C14DCF69CAA2A9A0DFAFD99E00536A1,CMT,1,N,8/29/13 10:57,8/29/13 11:19,2,1270,2.1,-73.99102,40.750912,-73.996727,40.767578
3B0E8DC736D1E0D35C698D7B0BF9CBFA,95E1B89BC718FB1DC76B939937E043F3,CMT,1,N,8/27/13 11:37,8/27/13 12:00,1,1392,10.9,-73.872948,40.774212,-73.981438,40.743946
1A575E39B0D761E6496F002F79E34D19,FAE278EFC2171382209D06992A5FE59D,CMT,1,N,8/29/13 5:41,8/29/13 5:55,3,811,3.5,-73.991791,40.757999,-73.99514,40.717392
A30A0C08B1331EC905B012947F22081F,B56ECCC02B67AD98E9EBEFB0E8A9FB6D,CMT,1,N,8/28/13 19:53,8/28/13 20:21,1,1678,10,-73.873009,40.773956,-73.997437,40.730167
EF74C4639B1D4D28B88DBCF0694DC821,3251A220F065378A4E35BE26E611DA8D,CMT,1,Y,8/26/13 1:08,8/26/13 1:19,1,697,3.6,-73.999733,40.72847,-73.983963,40.769341
C647516A7B73EC8105E8DE5494B4CDB9,80C4140E2FE178B8549FE2825D49238F,CMT,1,N,8/27/13 21:59,8/27/13 22:10,1,638,2.6,-73.972351,40.756321,-74.000221,40.730488
820B36EA63873F28807E47F980A91F73,06B5E4891A882B900B269D1353B116C7,CMT,1,N,8/27/13 14:56,8/27/13 15:00,1,256,0.9,-73.972847,40.793156,-73.964058,40.799034
820B36EA63873F28807E47F980A91F73,06B5E4891A882B900B269D1353B116C7,CMT,1,N,8/28/13 7:29,8/28/13 7:35,1,360,0.8,-73.996498,40.742821,-74.001961,40.732552
C4C347414D5C906720807BFC30CF13BA,262D54748AC4FE33D6BCAE268351FF80,CMT,1,Y,8/29/13 23:26,8/29/13 23:49,1,1381,5.1,-74.004684,40.746986,-73.951416,40.710934
6B8023AC6B68890438B9B845424E3FE9,C97DCB98FCCB272A82A66D4CBE762F73,CMT,1,N,8/31/13 17:06,8/31/13 17:14,2,483,1.3,-73.967293,40.772285,-73.983322,40.765354
EB21592CE6D70E55B25A9A80B44761C3,FCE5B92D71FA32DC290B43CCF8D02BDB,CMT,1,N,8/28/13 7:07,8/28/13 7:16,1,513,2.4,-73.952408,40.784161,-73.971863,40.754349
EB21592CE6D70E55B25A9A80B44761C3,FCE5B92D71FA32DC290B43CCF8D02BDB,CMT,1,N,8/28/13 13:05,8/28/13 13:27,1,1320,2.1,-73.99144,40.749969,-73.970551,40.76239
6D49E494913752B75B2685E0019FF3D5,7281CC90DBD48ACC900478DD0CAA9679,CMT,1,N,8/30/13 23:21,8/30/13 23:32,1,648,1.5,-73.980835,40.73064,-74.006462,40.741478
AA5DA32A45ABF4F64F3AC01A4AD00B0F,1ED99C692A852A41D5ACC8A86398DF11,CMT,1,N,8/28/13 20:55,8/28/13 21:03,1,471,1.7,-74.003204,40.72699,-74.016174,40.71019
733015B96769005F09B439E6D36DCAE1,3844340352C84AC293960F158C70AAC8,CMT,1,N,8/29/13 22:55,8/29/13 23:16,1,1284,9.3,-73.918129,40.735394,-73.99276,40.665665
733015B96769005F09B439E6D36DCAE1,3844340352C84AC293960F158C70AAC8,CMT,5,N,8/29/13 17:28,8/29/13 18:36,1,4050,38.2,-73.979897,40.745674,-74.435204,40.553726
073E554D0345EFB08A9FE38C61AD2335,CB850648762C800712DBEFF9A3B5B036,CMT,1,N,8/30/13 1:04,8/30/13 1:19,1,907,4.7,-73.945404,40.807911,-73.991592,40.7579
B50AE8959B0FCF53E9ABD37B39F50B3A,465E7EFF1B849565C3CAAEA60AA10709,CMT,1,N,8/29/13 18:44,8/29/13 18:48,1,241,1,-74.003479,40.727039,-73.991096,40.727798
7E774AA3143A39C60C04522E849BEECB,6BF41E82EE3DC8D1EF2A85904C34321A,CMT,1,N,8/27/13 12:37,8/27/13 12:50,1,766,3.1,-74.015907,40.711304,-74.000221,40.748604
57A63E815A54CD2D6FF73A1D24B89BFE,E72BB754FA1871ADE846FB0A21C7BF64,CMT,1,N,8/28/13 14:08,8/28/13 14:15,1,416,1.1,-74.005463,40.727207,-74.008347,40.712349
1A6E8F6EEBC37865EB2A2DAA1ECA6B94,6BEFE36C95F01D806A27F59A55027416,CMT,1,N,8/31/13 21:45,8/31/13 21:50,1,290,0.8,-73.98925,40.734146,-74.001839,40.737968
54C676B0DE58AF5C765D1BB8226295A6,E1A451EAFEA39A9DE5C927C4EFAF6C2C,CMT,1,N,8/31/13 23:14,8/31/13 23:32,1,1050,3.1,-73.994034,40.751209,-73.988037,40.719936
12842495074E45A2BDB93613AEBE05F3,FFF20BA1518E14B3B23F79DDDE1CA7E6,CMT,1,N,8/30/13 17:43,8/30/13 17:47,2,218,1.1,-73.956604,40.777966,-73.966637,40.764137
7DD1D6A5E432ACBD68A734587B589B9B,EF3FD28F7D39F614BF68B51F0256B050,CMT,1,N,8/31/13 8:58,8/31/13 9:07,1,547,2.8,-73.968582,40.791542,-73.995094,40.755192
506DF1356EA4AAA9DE38EE3103CDAAF9,B25D184408E0DC4CBCF2666EC7B939FF,CMT,1,N,8/28/13 21:47,8/28/13 21:57,1,588,0.9,-73.993744,40.752449,-73.978577,40.746059
4EC66A306E69E2A9514E8A7F177E2F7C,1889AB24B45BE47DFEF8E4522FC1F906,CMT,1,N,8/28/13 21:59,8/28/13 22:04,1,290,0.8,-73.972145,40.763157,-73.982452,40.767933
073E554D0345EFB08A9FE38C61AD2335,CA784439730B9A9D0C5418D945976F8B,CMT,1,N,8/28/13 14:04,8/28/13 14:08,1,292,0.6,-73.972687,40.755508,-73.97934,40.748554
BD6BEC206DAB447D3D08AA2C3C75A53A,D425F45DE6E2271BA2EA9AB65BFA50D9,CMT,1,N,8/29/13 19:17,8/29/13 19:24,1,432,1.7,-73.978256,40.766685,-73.959389,40.780392
BA60553FAA4FE1A36BBF77B4C10D3003,7113EB5EDADF2E5A9B1DEC6C3EAC89FF,CMT,2,N,8/30/13 11:01,8/30/13 11:01,1,10,0,-74.003929,40.720848,-74.003937,40.720844
4C4A0AFC432A1A87E97ED8F18403FF6E,BA20A20E2CF85EF7B00162D711394C7E,CMT,1,N,8/26/13 15:51,8/26/13 15:58,1,461,2.1,-73.952568,40.772404,-73.940735,40.798332
A30A0C08B1331EC905B012947F22081F,B6070CD9C6CBB790835CB6CC56350BA8,CMT,1,N,8/29/13 13:12,8/29/13 13:44,1,1923,13.5,-73.865723,40.770744,-74.005058,40.741161
0D6EFD5154194976ECC7D1002693B7DF,6728F46F954A33E985F187B91FCBAA14,CMT,1,N,8/26/13 11:24,8/26/13 11:29,1,320,1.1,-73.968887,40.758751,-73.96138,40.772644
0D6EFD5154194976ECC7D1002693B7DF,6728F46F954A33E985F187B91FCBAA14,CMT,1,N,8/26/13 7:23,8/26/13 7:31,1,512,1.5,-73.96125,40.765923,-73.978775,40.756413
1A6E8F6EEBC37865EB2A2DAA1ECA6B94,76D9CFA338E05BEF6A6211CC50BC1E7F,CMT,1,N,8/28/13 9:37,8/28/13 9:42,1,320,0.5,-73.987343,40.755665,-73.993721,40.75544
C4C347414D5C906720807BFC30CF13BA,262D54748AC4FE33D6BCAE268351FF80,CMT,1,Y,8/30/13 0:20,8/30/13 0:30,1,628,3.7,-73.952995,40.783325,-73.95327,40.783489
F9E0A24870A77B6A347303BD68BF3081,48CAD00AF465E28CB1D0B0ABA6EDC90B,CMT,1,N,8/28/13 12:42,8/28/13 12:47,2,285,0.3,-73.960068,40.776505,-73.962517,40.775772
0623A7C9C8D5348CCD6E441E6161FE19,84B982BE5996AD790C61503B713E9479,CMT,1,N,8/29/13 17:09,8/29/13 17:13,1,237,0.8,-74.002838,40.760525,-74.008133,40.748646
A557FACE6B00F79F55750047ADCED7EC,99B7AC45338EAB65B4C627D872B72CA3,CMT,1,N,8/26/13 1:06,8/26/13 1:15,3,584,1.8,-73.999626,40.738693,-73.996986,40.720329
4EC66A306E69E2A9514E8A7F177E2F7C,CB689AF2D7AEEF6451D1C1DA9E659D09,CMT,1,N,8/26/13 8:30,8/26/13 8:43,2,776,2.6,-73.98468,40.759281,-74.004097,40.725586
6D49E494913752B75B2685E0019FF3D5,7281CC90DBD48ACC900478DD0CAA9679,CMT,1,N,8/28/13 18:32,8/28/13 18:49,1,1020,2.1,-73.976814,40.751225,-73.953392,40.771435
BB7AB03C26A0D97D1A1E3BA84160D7A7,E2793922E435C07ADB319430EC0A6704,CMT,1,N,8/29/13 17:40,8/29/13 17:59,1,1140,3.6,-73.976959,40.790291,-73.994873,40.750336
BB7AB03C26A0D97D1A1E3BA84160D7A7,EDF4D56435524ED1FBC8EC5D46391716,CMT,1,N,8/30/13 23:24,8/30/13 23:45,1,1244,3.8,-73.979546,40.784664,-73.990158,40.75193
4EC66A306E69E2A9514E8A7F177E2F7C,CB689AF2D7AEEF6451D1C1DA9E659D09,CMT,1,N,8/26/13 9:34,8/26/13 9:51,1,996,2,-73.960419,40.757851,-73.985268,40.747532
CA8DFBC7AF031CBABDD5A592DFB2741C,3C9179450CD0C023C36D35033062D894,CMT,1,N,8/28/13 22:21,8/28/13 22:40,1,1163,4.6,-74.003708,40.726353,-73.963974,40.774532
0623A7C9C8D5348CCD6E441E6161FE19,84B982BE5996AD790C61503B713E9479,CMT,1,N,8/26/13 18:39,8/26/13 18:50,1,640,1.2,-73.978951,40.762096,-73.972481,40.752724
23A0B31A77630CC676BFF26290B7B8A6,8EEF8462A6AF95FBBB4C2B36530D8230,CMT,1,N,8/31/13 3:54,8/31/13 4:06,2,713,2.9,-73.990486,40.757278,-73.996819,40.726959
23A0B31A77630CC676BFF26290B7B8A6,8EEF8462A6AF95FBBB4C2B36530D8230,CMT,1,N,8/31/13 1:43,8/31/13 2:05,2,1353,10.8,-73.846375,40.754631,-73.931114,40.68177
12842495074E45A2BDB93613AEBE05F3,FFF20BA1518E14B3B23F79DDDE1CA7E6,CMT,1,N,8/30/13 22:47,8/30/13 22:54,1,415,1.2,-73.982368,40.746529,-73.996017,40.738579
C647516A7B73EC8105E8DE5494B4CDB9,74F6D243267A031F8A2384C9D5CDC368,CMT,1,N,8/29/13 9:46,8/29/13 9:56,2,607,1.2,-73.976395,40.736031,-73.991447,40.727757
6D3B2A7682C30DCF64F3F12976EF93B6,507C71C75AE0623A6ABA46A4DC2231B2,CMT,1,N,8/28/13 16:13,8/28/13 16:16,1,209,0.2,-73.976799,40.758255,-73.975662,40.756359
2BC063B43DF0100263778AABE4A65137,F699857E25E195AFEEC30D98EE9A8D0C,CMT,1,N,8/30/13 19:25,8/30/13 19:42,3,1005,2.7,-73.976784,40.75787,-74.007706,40.740696
BF83D10B5B533443A5EB753B11C5262D,B6C0C0CC830FBB5C59E908A806EB184E,CMT,1,N,8/27/13 8:58,8/27/13 8:59,1,65,0.3,-73.983398,40.75555,-73.980484,40.760384
CA8DFBC7AF031CBABDD5A592DFB2741C,3C9179450CD0C023C36D35033062D894,CMT,1,N,8/30/13 16:01,8/30/13 16:16,3,918,2.7,-73.986916,40.750221,-73.988914,40.72929
AAB230C25ED215118874E0B3F3ACF268,9632B0B945A8281822D1D0D1E9E6431A,CMT,1,N,8/29/13 20:41,8/29/13 20:46,1,341,0.7,-73.992455,40.731239,-73.983421,40.728485
6B744CE7D56C2A338B8E3E718E611D2E,6640639445B8144784927AB27661DE09,CMT,1,N,8/28/13 21:15,8/28/13 21:22,2,441,1,-73.988914,40.760258,-73.991692,40.748863
4EC66A306E69E2A9514E8A7F177E2F7C,1889AB24B45BE47DFEF8E4522FC1F906,CMT,1,N,8/27/13 0:30,8/27/13 0:35,1,259,1,-73.964127,40.771046,-73.956894,40.783527
1A575E39B0D761E6496F002F79E34D19,D5D8C5B421487585C060AAFDCAE21A4B,CMT,1,N,8/30/13 18:54,8/30/13 18:59,1,296,1.7,-73.964264,40.79747,-73.981392,40.779427
3B0E8DC736D1E0D35C698D7B0BF9CBFA,A48537FA22D264E395F167E9A6636AAF,CMT,1,N,8/31/13 13:27,8/31/13 13:52,2,1535,5.7,-74.016075,40.711193,-73.972809,40.762112
